freq,unit,direct,na_item,geo\TIME_PERIOD	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,EUR_HAB,BAL,B5N,DEA	: 	: 	: 	: 	: 	19400 	19700 	19500 	19900 	20100 	20200 	20800 	21200 	22200 	21600 	22100 	23200 	23700 b	24000 	24500 	25000 	25600 	26500 e	27600 e	28200 e	27900 e	28900 e	: 
A,EUR_HAB,BAL,B5N,DEA1	: 	: 	: 	: 	: 	20200 	20500 	20300 	20600 	20700 	20900 	21500 	21900 	22800 	22100 	22600 	23700 	24100 b	24400 	24900 	25300 	25900 	26800 e	27800 e	28500 e	28200 e	29200 e	: 
A,EUR_HAB,BAL,B5N,DEA2	: 	: 	: 	: 	: 	20500 	20900 	20700 	21000 	21200 	21300 	21800 	22200 	23200 	22700 	23300 	24300 	24700 b	25100 	25600 	26300 	26900 	27900 e	29200 e	29800 e	29500 e	30500 e	: 
A,EUR_HAB,BAL,B5N,DEA3	: 	: 	: 	: 	: 	17700 	18100 	17900 	18200 	18400 	18600 	19200 	19700 	20600 	20200 	20800 	21800 	22400 b	22700 	23300 	23800 	24300 	25200 e	26300 e	27100 e	26700 e	27500 e	: 
A,EUR_HAB,BAL,B5N,DEA4	: 	: 	: 	: 	: 	19400 	19800 	19400 	19700 	19800 	19900 	20600 	21000 	22000 	21400 	22000 	23100 	23700 b	24000 	24700 	25100 	25800 	26500 e	27800 e	28300 e	27800 e	28700 e	: 
A,EUR_HAB,BAL,B5N,DEA5	: 	: 	: 	: 	: 	18200 	18500 	18400 	18800 	19000 	19300 	20000 	20500 	21400 	20800 	21200 	22300 	22700 b	22800 	23400 	23800 	24300 	25300 e	26200 e	26700 e	26300 e	27300 e	: 
A,EUR_HAB,BAL,B5N,DEB	: 	: 	: 	: 	: 	18900 	19500 	19300 	19700 	20300 	20600 	21500 	22200 	22700 	23100 	23100 	24000 	24600 b	24900 	25300 	26000 	26500 	27300 e	28400 e	29000 e	28700 e	29600 e	: 
A,EUR_HAB,BAL,B5N,DEB1	: 	: 	: 	: 	: 	18500 	19000 	18700 	19100 	19600 	20000 	20900 	21600 	22000 	22300 	22200 	23200 	23800 b	24200 	24400 	25200 	25900 	26500 e	27600 e	27800 e	27600 e	28300 e	: 
A,EUR_HAB,BAL,B5N,DEB2	: 	: 	: 	: 	: 	17000 	17700 	17700 	18300 	19100 	19500 	20500 	21200 	21900 	22500 	22600 	23500 	23900 b	24200 	24600 	24900 	25600 	26500 e	27600 e	28400 e	28200 e	29400 e	: 
A,EUR_HAB,BAL,B5N,DEB3	: 	: 	: 	: 	: 	19800 	20400 	20100 	20500 	21000 	21300 	22200 	22900 	23500 	23700 	23900 	24700 	25400 b	25600 	26200 	27000 	27200 	28000 e	29200 e	29900 e	29700 e	30600 e	: 
A,EUR_HAB,BAL,B5N,DEC	: 	: 	: 	: 	: 	16900 	17700 	17400 	17600 	18300 	18500 	18800 	19300 	19900 	19700 	20300 	21400 	21700 b	22000 	21900 	22400 	22800 	23700 e	24500 e	25000 e	24400 e	25100 e	: 
A,EUR_HAB,BAL,B5N,DEC0	: 	: 	: 	: 	: 	16900 	17700 	17400 	17600 	18300 	18500 	18800 	19300 	19900 	19700 	20300 	21400 	21700 b	22000 	21900 	22400 	22800 	23700 e	24500 e	25000 e	24400 e	25100 e	: 
A,EUR_HAB,BAL,B5N,DED	: 	: 	: 	: 	: 	12700 	13100 	13300 	13700 	14000 	14000 	14600 	15300 	16100 	16100 	16500 	17200 	17700 b	18100 	18400 	19100 	19700 	20500 e	21300 e	22000 e	22100 e	22800 e	: 
A,EUR_HAB,BAL,B5N,DED2	: 	: 	: 	: 	: 	12900 	13300 	13600 	14000 	14300 	14300 	14900 	15600 	16400 	16400 	16800 	17400 	17900 b	18300 	18600 	19200 	19900 	20700 e	21600 e	22300 e	22300 e	23100 e	: 
A,EUR_HAB,BAL,B5N,DED4	: 	: 	: 	: 	: 	12300 	12800 	12900 	13200 	13500 	13400 	14000 	14700 	15400 	15400 	15800 	16500 	17000 b	17300 	17700 	18200 	18700 	19400 e	20200 e	20800 e	20900 e	21700 e	: 
